subject,course_code,type,course_title,weekdays,time,instructors,location
RETL,635,Lecture,Creativity and Experiential Economy .,M,11:35 am-02:25 pm,Daphne Ann Demetry,BRONF 245
RETL,635,Lecture,Creativity and Experiential Economy .,W,11:35 am-02:25 pm,Daphne Ann Demetry,BRONF 245
RUSS,211,Lecture,Elementary Russian Language 2.,MWF,11:35 am-12:25 pm,"Alexandre Zaezjev , Maria Ivanova",SH688 295
RUSS,211,Lecture,Elementary Russian Language 2.,R,11:35 am-12:25 pm,"Alexandre Zaezjev , Maria Ivanova",SH688 295
RUSS,211,Lecture,Elementary Russian Language 2.,MWF,08:35 am-09:25 am,"Izabela Zdun , Maria Ivanova",SH688 395
RUSS,211,Lecture,Elementary Russian Language 2.,R,08:35 am-09:25 am,"Izabela Zdun , Maria Ivanova",SH688 395
RUSS,213,Lecture,Introduction to Soviet Film.,MW,08:35 am-09:55 am,Alexandre Zaezjev,BIRKS 205
RUSS,215,Lecture,Elementary Russian Language Intensive 1.,MWF,08:35 am-10:25 am,Maria Ivanova,SH688 365
RUSS,215,Lecture,Elementary Russian Language Intensive 1.,R,08:35 am-10:25 am,Maria Ivanova,SH688 365
RUSS,218,Lecture,Russian Literature and Revolution.,TR,11:35 am-12:55 pm,Laura A Beraha,ENGTR 1080
RUSS,224,Lecture,Russian 19th Century: Literary Giants 2.,TR,02:35 pm-03:55 pm,Daniel Webster Pratt,FERR 476
RUSS,224,Lecture,Russian 19th Century: Literary Giants 2.,TR,02:35 pm-03:55 pm,Daniel Webster Pratt,ARTS W-215
RUSS,311,Lecture,Intermediate Russian Language 2.,MWF,03:35 pm-04:25 pm,"Zora Kadyrbekova , Maria Ivanova",SH688 223
RUSS,311,Lecture,Intermediate Russian Language 2.,R,03:35 pm-04:25 pm,"Zora Kadyrbekova , Maria Ivanova",SH688 223
RUSS,347,Lecture,Late and Post-Soviet Culture.,TR,08:35 am-09:55 am,Laura A Beraha,SH688 495
RUSS,350,Lecture,Central European Film.,TR,10:05 am-11:25 am,Daniel Webster Pratt,SH688 495
RUSS,382,Lecture,Russian Opera.,TR,10:05 am-11:25 am,Adalyat Issiyeva,LEA 210
RUSS,382,Lecture,Russian Opera.,R,04:35 pm-07:25 pm,Adalyat Issiyeva,SH688 1041
RUSS,382,Lecture,Russian Opera.,F,04:35 pm-07:25 pm,Adalyat Issiyeva,SH688 295
RUSS,398,Lecture,Soviet Women Filmmakers.,TR,08:35 am-09:55 am,Daniel Paul Schwartz,LEA 15
RUSS,401,Lecture,Advanced Russian Language 2.,MWF,01:35 pm-02:25 pm,"Zora Kadyrbekova , Maria Ivanova",SH688 391
RUSS,401,Lecture,Advanced Russian Language 2.,R,01:35 pm-02:25 pm,"Zora Kadyrbekova , Maria Ivanova",SH688 391
RUSS,415,Lecture,Advanced Russian Language Intensive 1.,MWF,11:35 am-01:25 pm,Maria Ivanova,SH688 495
RUSS,415,Lecture,Advanced Russian Language Intensive 1.,R,11:35 am-01:25 pm,Maria Ivanova,SH688 495
SCSD,609,Lecture,Neuromotor Disorders.,W,09:05 am-12:15 pm,Kalyna Franko,TBA
SCSD,632,Lecture,Phonological Disorders: Children.,F,01:00 pm-02:55 pm,"Laura MacGrath , Susan Rvachew",TBA
SCSD,632,Lecture,Phonological Disorders: Children.,R,01:00 pm-02:55 pm,"Laura MacGrath , Susan Rvachew",TBA
SCSD,638,Lecture,Neurolinguistics.,R,02:05 pm-03:55 pm,Karsten Steinhauer,TBA
SCSD,643,Lecture,Developmental Language Disorders 2.,R,10:05 am-12:05 pm,"Elin Thordardottir , Amanda Ovadia",TBA
SCSD,652,Seminar,Advanced Research Seminar 1.,M,02:30 pm-04:30 pm,Marc D Pell,TBA
SCSD,652,Seminar,Advanced Research Seminar 1.,W,02:30 pm-04:30 pm,Marc D Pell,TBA
SCSD,653,Seminar,Advanced Research Seminar 2.,M,02:30 pm-04:30 pm,Marc D Pell,TBA
SCSD,653,Seminar,Advanced Research Seminar 2.,W,02:30 pm-04:30 pm,Marc D Pell,TBA
SCSD,654,Seminar,Advanced Research Seminar 3.,M,02:30 pm-04:30 pm,Marc D Pell,TBA
SCSD,654,Seminar,Advanced Research Seminar 3.,W,02:30 pm-04:30 pm,Marc D Pell,TBA
SCSD,666,Lecture,Communication Sciences and Disorders 3.,T,08:25 am-10:25 am,Christina Lattermann,TBA
SCSD,669,Lecture,ASD and Neurodevelopmental Disorders.,M,01:15 pm-03:10 pm,Aparna S. Nadig,TBA
SCSD,669,Lecture,ASD and Neurodevelopmental Disorders.,W,01:15 pm-03:10 pm,Aparna S. Nadig,TBA
